Date,Symbol,Open,High,Low,Close,Volume
2013-11-25,AAPL,74.431427,75.12428299999998,74.428574,74.82,57327900
2013-11-26,AAPL,74.87428299999998,76.591431,74.85714,76.199997,100345700
2013-11-27,AAPL,76.61571500000002,78.0,76.199997,77.994286,90862100
2013-11-29,AAPL,78.497147,79.761429,78.25856800000003,79.438568,79531900
2013-12-02,AAPL,79.714287,80.61856800000002,78.688568,78.747147,118136200
2013-12-03,AAPL,79.757141,80.91143000000002,79.668571,80.902855,112742000
2013-12-04,AAPL,80.785713,81.312859,80.117142,80.714287,94452400
2013-12-05,AAPL,81.807144,82.16285699999997,80.915718,81.128571,111895000
2013-12-06,AAPL,80.827141,80.964287,79.938568,80.002853,86088100
2013-12-09,AAPL,80.128571,81.36856800000002,80.128571,80.918571,80123400
2013-12-10,AAPL,80.511429,81.12571700000002,80.171425,80.792854,69567400
2013-12-11,AAPL,81.0,81.567146,79.955711,80.194283,89929700
2013-12-12,AAPL,80.305717,80.762856,80.004288,80.077141,65572500
2013-12-13,AAPL,80.407143,80.41143000000002,79.095711,79.204285,83205500
2013-12-16,AAPL,79.288574,80.377144,79.28714000000002,79.64286,70648200
2013-12-17,AAPL,79.40142800000002,79.91999799999998,79.054283,79.284286,57475600
2013-12-18,AAPL,78.528572,78.778572,76.971428,78.681427,141465800
2013-12-19,AAPL,78.5,78.571426,77.675713,77.779999,80077200
2013-12-20,AAPL,77.918571,78.80143000000002,77.831429,78.431427,109103400
2013-12-23,AAPL,81.14286,81.531425,80.394287,81.441429,125326600
2013-12-24,AAPL,81.41285699999997,81.697144,80.861427,81.095711,41888700
2013-12-26,AAPL,81.157143,81.35714,80.482857,80.557144,51002000
2013-12-27,AAPL,80.545715,80.629997,79.928574,80.012856,56471100
2013-12-30,AAPL,79.637146,80.012856,78.902855,79.21714,63407400
2013-12-31,AAPL,79.16714499999998,80.182854,79.14286,80.145714,55771100
2014-01-02,AAPL,79.382858,79.575714,78.860001,79.01857,58671200
2014-01-03,AAPL,78.980003,79.099998,77.204285,77.28286,98116900
2014-01-06,AAPL,76.778572,78.114288,76.228569,77.704285,103152700
2014-01-07,AAPL,77.760002,77.994286,76.845711,77.148575,79302300
2014-01-08,AAPL,76.97285500000002,77.937141,76.955711,77.637146,64632400
2014-01-09,AAPL,78.114288,78.122856,76.478569,76.645714,69787200
2014-01-10,AAPL,77.11856800000002,77.257141,75.872856,76.13428499999998,76244000
2014-01-13,AAPL,75.701431,77.5,75.697144,76.53286,94623200
2014-01-14,AAPL,76.888573,78.104286,76.808571,78.055717,83140400
2014-01-15,AAPL,79.074287,80.028572,78.808571,79.622856,97909700
2014-01-16,AAPL,79.271431,79.550003,78.811432,79.178574,57319500
2014-01-17,AAPL,78.78286,78.867142,77.128571,77.238571,106684900
2014-01-21,AAPL,77.284286,78.581429,77.20285799999998,78.438568,82131700
2014-01-22,AAPL,78.701431,79.612854,78.25856800000003,78.78714000000002,94996300
2014-01-23,AAPL,78.562859,79.5,77.83000200000002,79.454285,100809800
2014-01-24,AAPL,79.14286,79.37428299999998,77.821426,78.010002,107338700
2014-01-27,AAPL,78.581429,79.257141,77.964287,78.64286,138719700
2014-01-28,AAPL,72.68,73.571426,71.724289,72.35714,266380800
2014-01-29,AAPL,71.992859,72.48143,71.23143,71.535713,125702500
2014-01-30,AAPL,71.791428,72.35714,70.957146,71.397141,169625400
2014-01-31,AAPL,70.739998,71.647141,70.507141,71.514282,116199300
2014-02-03,AAPL,71.80143000000002,72.53286,71.328575,71.647141,100366000
2014-02-04,AAPL,72.264282,72.779999,71.822861,72.684288,94170300
2014-02-05,AAPL,72.36571500000002,73.611427,72.321426,73.227142,82086200
2014-02-06,AAPL,72.86571500000002,73.35714,72.544289,73.215714,64441300
2014-02-07,AAPL,74.482857,74.704285,73.91143000000002,74.239998,92570100
2014-02-10,AAPL,74.094284,75.998573,74.0,75.57,86389800
2014-02-11,AAPL,75.80143000000002,76.821426,75.64286,76.565712,70564200
2014-02-12,AAPL,76.707146,77.08000200000002,76.177139,76.559998,77025200
2014-02-13,AAPL,76.379997,77.835716,76.314285,77.775711,76849500
2014-02-14,AAPL,77.495712,77.997147,77.315712,77.71285999999998,68231100
2014-02-18,AAPL,78.0,78.74143199999997,77.944283,77.998573,65062900
2014-02-19,AAPL,77.821426,78.127144,76.335716,76.767143,78442000
2014-02-20,AAPL,76.141426,76.714287,75.571426,75.878571,76464500
2014-02-21,AAPL,76.112854,76.367142,74.942856,75.035713,69696200
